,Chords,Notes,Degrees
68,Cminb713b9,"['do', 'res', 'sol', 'la', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
69,Cminmaj13,"['do', 'res', 'sol', 'si', 're', 'mis', 'la']","[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
70,Cminmaj1311s,"['do', 'res', 'sol', 'si', 're', 'fas', 'la']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]"
71,Cmin13,"['do', 'res', 'sol', 'las', 're', 'mis', 'la']","[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
72,Cmin11b913b,"['do', 'res', 'sol', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
73,Cmin1113b,"['do', 'res', 'sol', 'las', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0]"
74,Cdim7,"['do', 'res', 'fas', 'las']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
75,Cdimmaj7,"['do', 'res', 'fas', 'si']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
76,Cdim9,"['do', 'res', 'fas', 'las', 're']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
77,Cdimmaj9,"['do', 'res', 'fas', 'si', 're']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
78,Cdimmajs9,"['do', 'res', 'fas', 'si', 'res']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
79,Cdimb9,"['do', 'res', 'fas', 'las', 'dos']","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
80,Cdimb79,"['do', 'res', 'fas', 'la', 're']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
81,Cdimb7b9,"['do', 'res', 'fas', 'la', 'dos']","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
82,Cdim7b9,"['do', 'res', 'fas', 'las', 'dos']","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
83,Cdim7sus2,"['do', 'res', 'fas', 'do', 're', 'sol', 'las']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
84,Cdimmaj7sus2,"['do', 'res', 'fas', 'do', 're', 'sol', 'si']","[1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]"
